Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Damage,Annual_Premium,Vintage,VAge1,VAge2,VAge3,VPolicy0,VPolicy1,VPolicy2,VPolicy3,Response
0,33,1,3,0,1,33655,264,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0,43,1,24,0,1,2630,52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,48,1,28,0,1,41319,145,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,39,1,41,0,1,35180,189,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,26,1,8,1,0,35030,299,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,26,1,10,1,0,24424,117,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,56,1,38,0,1,2630,136,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,38,1,28,0,0,40965,164,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,41,1,41,0,1,22347,71,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,39,1,28,0,1,32566,122,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,43,1,29,0,1,26421,66,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,25,1,11,1,0,32284,134,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,22,1,25,1,0,23613,281,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,26,1,41,1,0,36975,276,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,42,1,48,0,1,2630,160,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,49,1,28,0,1,35962,99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,25,1,28,0,1,49083,104,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1,56,1,41,0,1,39355,113,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,29,1,29,1,0,26175,55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,51,1,47,0,1,32289,117,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
1,31,1,3,1,0,20512,106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,24,1,14,1,0,2630,256,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,48,1,31,1,0,2630,18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,54,1,48,1,0,2630,206,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,36,1,28,1,0,32333,134,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,47,1,8,0,1,63606,167,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1,31,1,29,1,0,27485,77,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,22,1,30,0,1,34817,138,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0,54,1,28,0,1,48465,293,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,30,1,28,0,0,46237,291,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,20,1,36,0,1,24538,94,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,62,1,8,0,1,2630,14,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
1,57,1,28,0,1,33774,238,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,44,1,30,1,0,2630,134,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,39,1,6,1,1,26097,156,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,37,1,28,0,1,44480,141,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0,36,1,45,0,1,22519,68,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,32,1,21,0,1,32977,287,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,32,1,21,1,0,29839,267,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,40,1,16,0,1,14488,188,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
1,26,1,15,1,0,31986,125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,74,1,7,0,1,37126,32,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,48,1,28,1,0,42361,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,24,1,30,1,0,38959,40,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,48,1,28,0,1,45847,43,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,53,1,40,0,1,29181,203,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,36,1,28,0,1,49945,196,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,26,1,29,0,1,58240,84,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,70,1,47,0,1,26869,145,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,33,1,46,0,1,27416,21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0,46,1,28,1,0,44129,137,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,27,1,36,1,0,32279,31,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,63,1,46,0,1,45529,23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,78,1,48,1,0,2630,237,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,20,1,47,0,0,28653,232,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,27,1,8,1,0,42083,231,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,22,1,11,1,0,28736,47,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,56,1,28,1,0,53421,183,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,77,1,15,0,1,47590,28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,30,1,30,1,0,32606,106,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,24,1,28,0,0,45916,96,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
1,25,1,28,1,0,25243,58,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,43,1,28,0,1,41321,37,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1,21,1,36,0,1,32452,71,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,23,1,2,0,0,2630,184,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,32,1,28,0,1,30501,206,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,22,1,10,1,0,24474,265,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,27,1,20,0,1,2630,101,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0,21,1,37,0,1,35723,125,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,28,1,10,1,0,19337,107,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,47,1,28,0,1,37685,107,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,54,1,28,0,1,2630,65,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,51,1,28,0,1,40284,238,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,30,1,28,0,1,54571,164,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,42,1,8,0,1,50236,116,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,39,1,15,0,1,2630,163,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,23,1,41,1,0,47120,81,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,23,1,29,1,0,27091,190,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,79,1,28,0,1,50354,233,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0,24,1,37,1,0,41122,11,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,23,1,8,0,1,31489,206,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,45,1,28,0,1,37697,206,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0,46,1,28,1,0,29578,14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,40,1,28,0,1,36041,235,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,53,1,28,1,0,40491,210,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,68,1,46,0,1,45378,183,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
1,44,1,28,0,1,44029,182,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,46,1,11,0,1,31900,90,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,60,1,43,0,1,28186,103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,32,1,14,0,1,2630,199,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,60,1,28,1,0,38105,86,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,46,1,9,0,1,2630,199,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,55,1,28,0,1,2630,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,34,1,28,0,1,32875,53,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1
0,58,1,28,0,1,42899,228,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1,41,1,29,0,1,24541,125,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,40,1,6,1,0,31154,182,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,21,1,46,1,0,24725,198,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,37,1,36,1,0,39793,98,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,22,1,3,1,0,42922,217,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,36,1,16,0,1,31632,255,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
0,22,1,36,1,0,27886,87,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,40,1,41,0,1,29145,117,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,22,1,28,1,0,42231,93,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,38,1,28,0,1,66043,284,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,45,1,3,0,1,29029,233,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,45,1,29,0,1,35548,277,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,23,1,8,1,0,33627,154,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,29,1,46,1,0,28500,197,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,26,1,47,0,1,2630,31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,38,1,29,0,1,38672,152,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,51,1,46,0,1,26241,165,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,30,1,29,0,1,2630,172,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,27,1,10,1,0,28350,194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,42,1,28,0,1,37649,47,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,58,0,29,0,1,31840,34,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,25,1,36,1,0,27565,212,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,44,1,23,0,1,2630,2567,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,22,1,46,1,0,30021,97,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,50,1,43,0,0,28083,23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,55,1,29,1,1,2630,288,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,46,1,46,0,1,33439,72,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,58,1,11,0,0,23542,50,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,30,1,36,1,0,26444,51,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,39,1,28,0,1,27282,46,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,48,1,38,1,0,2630,169,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,23,1,45,1,1,38698,213,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,22,1,18,1,0,2630,277,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,44,1,35,0,1,37005,52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,24,1,41,0,1,2630,92,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,26,1,32,1,0,30002,68,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,54,1,46,0,0,26420,77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,38,1,28,0,1,28613,101,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,25,1,36,0,0,33363,280,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,35,1,46,0,1,41419,83,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,45,1,50,1,0,2630,36,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,34,1,11,0,1,39792,221,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,37,1,15,0,1,25807,121,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,58,1,28,0,1,56593,140,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,25,1,28,1,0,64373,295,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,24,1,17,1,0,2630,266,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,38,1,28,0,1,2630,177,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,56,1,28,0,1,34620,105,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,22,1,6,1,0,36108,218,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,21,1,8,0,0,40225,107,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,50,1,16,0,1,25946,161,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0,23,1,4,0,1,22387,98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0,23,1,17,1,1,35565,231,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,66,1,28,1,0,61290,125,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,39,1,21,0,1,2630,278,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,44,1,28,0,1,33007,251,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,37,1,18,1,0,2630,292,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,26,1,25,0,1,22205,87,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,25,1,8,0,0,59940,78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0,52,1,8,0,1,33271,78,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,22,1,5,0,1,24799,229,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,54,1,28,0,1,45256,99,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,34,1,41,1,0,25434,33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
0,41,1,28,0,1,38637,103,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,21,1,36,0,0,32137,179,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,25,1,28,0,1,51543,204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,43,1,28,0,1,25833,285,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,26,1,18,0,1,47563,265,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,70,1,46,0,1,40605,62,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0,61,1,28,0,1,2630,297,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,26,1,50,1,0,28556,38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,25,1,28,1,0,31553,293,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,28,1,8,0,0,2630,44,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,26,1,30,1,0,21082,256,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,55,1,35,1,0,23220,291,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,29,1,21,1,0,2630,135,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,93,1,28,0,1,30742,190,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,51,1,28,0,1,68264,153,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,71,1,41,0,1,59586,146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,24,1,41,1,0,43190,272,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,49,1,28,0,1,107446,216,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,45,1,28,1,0,59315,68,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,64,1,50,0,1,29018,83,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,46,1,46,1,0,30907,167,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,48,1,28,0,1,46615,130,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0,24,1,46,1,0,45202,30,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,22,1,33,1,0,30331,55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,36,1,15,0,1,30165,47,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,68,1,28,1,0,43440,183,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,21,1,7,1,0,48667,276,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,23,1,15,1,1,29431,92,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,48,1,20,1,0,2630,181,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,48,1,8,0,1,39240,267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,51,1,30,1,0,31917,64,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
0,46,1,28,0,1,2630,15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,72,1,8,0,1,2630,11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0,52,1,8,1,0,42682,71,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,33,1,46,1,0,53169,110,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1,22,1,33,1,0,32124,203,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,47,1,28,0,1,31847,26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,40,1,3,1,1,17617,290,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1,32,1,27,0,1,2630,132,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,37,1,7,0,1,2630,79,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,73,1,43,0,1,35986,276,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,25,1,28,1,0,45487,89,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,37,1,33,1,0,31439,264,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,24,1,41,1,0,26028,165,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,26,1,41,0,1,2630,258,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,52,1,38,0,1,27174,77,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,49,1,35,0,1,36738,250,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,39,1,28,1,0,46310,168,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,22,1,45,1,0,29319,97,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,41,1,28,0,0,27000,47,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,50,1,21,1,0,28573,118,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,42,1,47,0,1,29663,146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0,59,1,33,0,1,2630,109,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0,23,1,12,1,0,23061,71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,61,1,28,0,1,68900,40,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,24,1,30,0,0,26650,59,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,28,1,41,1,0,41450,288,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,23,1,30,1,0,30543,13,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,43,1,28,1,0,31841,243,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,25,1,31,1,0,2630,194,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,48,1,28,0,1,30408,148,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0,27,1,8,0,1,33487,244,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,24,1,15,0,1,40170,82,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0,55,1,48,1,1,2630,172,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1,23,1,28,1,0,38350,161,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,51,1,41,0,1,26344,156,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,29,1,30,0,1,28204,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,23,1,36,1,0,43908,65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,57,1,39,0,1,2630,283,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,21,1,30,0,1,37260,74,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,23,1,35,0,1,36245,24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,22,1,6,1,0,24457,235,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,24,1,29,1,0,31241,192,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,20,1,46,1,0,67052,241,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,22,1,14,1,0,32046,115,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,23,1,28,0,1,69856,293,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
0,24,1,37,1,0,35802,202,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,23,1,30,1,0,23026,31,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,46,1,28,0,1,39912,171,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,25,1,30,0,0,18151,74,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,75,1,28,0,1,51590,206,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,41,1,28,0,1,30437,252,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
1,71,1,28,0,1,41362,70,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,41,1,28,1,0,39819,95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,27,1,46,1,0,49544,17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,35,1,28,0,1,34928,138,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,26,1,41,1,0,26271,60,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,25,1,3,0,0,32465,232,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,49,1,28,0,1,55861,25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,23,1,44,1,0,27480,57,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0,29,1,28,0,1,25692,270,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
0,50,1,46,0,1,28375,175,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,79,1,41,0,1,40993,98,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1,72,1,8,0,1,2630,276,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
1,68,1,8,0,1,67500,208,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0,42,1,33,1,0,35055,299,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0,46,1,28,1,0,23845,229,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0,25,1,46,0,1,2630,145,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,21,1,46,1,0,25827,92,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,21,1,28,0,1,2630,230,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,49,1,15,0,1,29414,28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,43,1,8,0,1,2630,247,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1,27,1,36,0,0,39422,212,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
