"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"Female",32,1,21,1,"< 1 Year","No",29839,152,267,0
"Male",40,1,16,0,"1-2 Year","Yes",14488,152,188,0
"Female",26,1,15,1,"< 1 Year","No",31986,152,125,0
"Female",74,1,7,0,"1-2 Year","Yes",37126,124,32,1
"Female",48,1,28,1,"1-2 Year","No",42361,124,216,0
"Female",24,1,30,1,"< 1 Year","No",38959,152,40,0
"Female",48,1,28,0,"1-2 Year","Yes",45847,26,43,0
"Male",53,1,40,0,"1-2 Year","Yes",29181,26,203,0
"Female",36,1,28,0,"1-2 Year","Yes",49945,124,196,1
"Male",26,1,29,0,"< 1 Year","Yes",58240,152,84,0
"Male",70,1,47,0,"1-2 Year","Yes",26869,124,145,0
"Male",33,1,46,0,"< 1 Year","Yes",27416,156,21,1
"Male",46,1,28,1,"1-2 Year","No",44129,26,137,0
"Male",27,1,36,1,"< 1 Year","No",32279,152,31,0
"Male",63,1,46,0,"1-2 Year","Yes",45529,26,23,0
"Male",78,1,48,1,"1-2 Year","No",2630,26,237,0
"Female",20,1,47,0,"< 1 Year","No",28653,160,232,0
"Female",27,1,8,1,"< 1 Year","No",42083,152,231,0
"Female",22,1,11,1,"< 1 Year","No",28736,152,47,0
"Female",56,1,28,1,"1-2 Year","No",53421,124,183,0
"Male",77,1,15,0,"< 1 Year","Yes",47590,152,28,0
"Male",30,1,30,1,"< 1 Year","No",32606,152,106,0
"Male",24,1,28,0,"< 1 Year","No",45916,152,96,1
"Female",25,1,28,1,"< 1 Year","No",25243,152,58,0
"Male",43,1,28,0,"> 2 Years","Yes",41321,26,37,0
"Female",21,1,36,0,"< 1 Year","Yes",32452,160,71,0
"Male",23,1,2,0,"< 1 Year","No",2630,151,184,0
"Male",32,1,28,0,"1-2 Year","Yes",30501,124,206,0
"Female",22,1,10,1,"< 1 Year","No",24474,152,265,0
"Male",27,1,20,0,"< 1 Year","Yes",2630,124,101,0
"Male",21,1,37,0,"< 1 Year","Yes",35723,160,125,0
"Male",28,1,10,1,"< 1 Year","No",19337,152,107,0
"Male",47,1,28,0,"1-2 Year","Yes",37685,52,107,0
"Female",54,1,28,0,"1-2 Year","Yes",2630,61,65,0
"Female",51,1,28,0,"1-2 Year","Yes",40284,124,238,0
"Female",30,1,28,0,"< 1 Year","Yes",54571,26,164,0
"Male",42,1,8,0,"1-2 Year","Yes",50236,124,116,0
"Male",39,1,15,0,"1-2 Year","Yes",2630,156,163,0
"Male",23,1,41,1,"< 1 Year","No",47120,152,81,0
"Female",23,1,29,1,"< 1 Year","No",27091,152,190,0
"Female",79,1,28,0,"> 2 Years","Yes",50354,26,233,0
"Male",24,1,37,1,"< 1 Year","No",41122,152,11,0
"Female",23,1,8,0,"< 1 Year","Yes",31489,160,206,0
"Male",45,1,28,0,"> 2 Years","Yes",37697,124,206,0
"Male",46,1,28,1,"1-2 Year","No",29578,124,14,0
"Female",40,1,28,0,"1-2 Year","Yes",36041,124,235,1
"Female",53,1,28,1,"1-2 Year","No",40491,124,210,0
"Female",68,1,46,0,"> 2 Years","Yes",45378,11,183,1
"Female",44,1,28,0,"1-2 Year","Yes",44029,26,182,0
"Male",46,1,11,0,"1-2 Year","Yes",31900,157,90,1
"Male",60,1,43,0,"1-2 Year","Yes",28186,26,103,0
"Female",32,1,14,0,"1-2 Year","Yes",2630,157,199,0
"Female",60,1,28,1,"1-2 Year","No",38105,26,86,0
"Female",46,1,9,0,"1-2 Year","Yes",2630,156,199,0
"Female",55,1,28,0,"1-2 Year","Yes",2630,26,67,0
"Female",34,1,28,0,"1-2 Year","Yes",32875,152,53,1
"Male",58,1,28,0,"> 2 Years","Yes",42899,124,228,0
"Female",41,1,29,0,"1-2 Year","Yes",24541,124,125,1
"Female",40,1,6,1,"1-2 Year","No",31154,122,182,0
"Male",21,1,46,1,"< 1 Year","No",24725,160,198,0
"Male",37,1,36,1,"1-2 Year","No",39793,124,98,0
"Female",22,1,3,1,"< 1 Year","No",42922,152,217,0
"Male",36,1,16,0,"1-2 Year","Yes",31632,152,255,0
"Male",22,1,36,1,"< 1 Year","No",27886,152,87,0
"Female",40,1,41,0,"1-2 Year","Yes",29145,26,117,1
"Female",22,1,28,1,"< 1 Year","No",42231,152,93,0
"Male",38,1,28,0,"1-2 Year","Yes",66043,26,284,1
"Male",45,1,3,0,"1-2 Year","Yes",29029,124,233,1
"Male",45,1,29,0,"1-2 Year","Yes",35548,26,277,1
"Male",23,1,8,1,"< 1 Year","No",33627,152,154,0
"Male",29,1,46,1,"< 1 Year","No",28500,152,197,0
"Female",26,1,47,0,"< 1 Year","Yes",2630,160,31,0
"Female",38,1,29,0,"1-2 Year","Yes",38672,26,152,1
"Female",51,1,46,0,"1-2 Year","Yes",26241,154,165,1
"Male",30,1,29,0,"1-2 Year","Yes",2630,124,172,1
"Female",27,1,10,1,"< 1 Year","No",28350,152,194,0
"Male",42,1,28,0,"1-2 Year","Yes",37649,56,47,1
"Male",58,0,29,0,"1-2 Year","Yes",31840,124,34,1
"Male",25,1,36,1,"< 1 Year","No",27565,152,212,0
"Male",44,1,23,0,"1-2 Year","Yes",2630,156,2567,0
"Female",22,1,46,1,"< 1 Year","No",30021,152,97,0
"Male",50,1,43,0,"1-2 Year","No",28083,156,23,0
"Male",55,1,29,1,"1-2 Year","Yes",2630,26,288,0
"Male",46,1,46,0,"1-2 Year","Yes",33439,11,72,1
"Male",58,1,11,0,"1-2 Year","No",23542,124,50,0
"Female",30,1,36,1,"< 1 Year","No",26444,152,51,0
"Male",39,1,28,0,"1-2 Year","Yes",27282,122,46,0
"Male",48,1,38,1,"1-2 Year","No",2630,26,169,0
"Female",23,1,45,1,"< 1 Year","Yes",38698,26,213,0
"Male",22,1,18,1,"1-2 Year","No",2630,124,277,0
"Female",44,1,35,0,"1-2 Year","Yes",37005,26,52,0
"Female",24,1,41,0,"< 1 Year","Yes",2630,156,92,0
"Male",26,1,32,1,"< 1 Year","No",30002,152,68,0
"Female",54,1,46,0,"1-2 Year","No",26420,124,77,0
"Female",38,1,28,0,"1-2 Year","Yes",28613,26,101,1
"Female",25,1,36,0,"< 1 Year","No",33363,152,280,0
"Female",35,1,46,0,"1-2 Year","Yes",41419,157,83,1
"Male",45,1,50,1,"1-2 Year","No",2630,156,36,0
"Male",34,1,11,0,"1-2 Year","Yes",39792,124,221,1
"Female",37,1,15,0,"1-2 Year","Yes",25807,26,121,1
"Male",58,1,28,0,"1-2 Year","Yes",56593,26,140,0
"Male",25,1,28,1,"< 1 Year","No",64373,152,295,0
"Male",24,1,17,1,"< 1 Year","No",2630,152,266,0
"Male",38,1,28,0,"1-2 Year","Yes",2630,26,177,0
"Male",56,1,28,0,"1-2 Year","Yes",34620,26,105,0
"Male",22,1,6,1,"< 1 Year","No",36108,152,218,0
"Male",21,1,8,0,"< 1 Year","No",40225,160,107,0
"Male",50,1,16,0,"> 2 Years","Yes",25946,124,161,0
"Male",23,1,4,0,"< 1 Year","Yes",22387,152,98,1
"Male",23,1,17,1,"< 1 Year","Yes",35565,152,231,0
"Male",66,1,28,1,"1-2 Year","No",61290,26,125,0
"Female",39,1,21,0,"1-2 Year","Yes",2630,156,278,0
"Male",44,1,28,0,"1-2 Year","Yes",33007,124,251,0
"Male",37,1,18,1,"1-2 Year","No",2630,122,292,0
"Female",26,1,25,0,"< 1 Year","Yes",22205,152,87,0
"Female",25,1,8,0,"< 1 Year","No",59940,26,78,0
"Male",52,1,8,0,"1-2 Year","Yes",33271,124,78,0
"Female",22,1,5,0,"< 1 Year","Yes",24799,152,229,0
"Female",54,1,28,0,"1-2 Year","Yes",45256,59,99,0
"Female",34,1,41,1,"1-2 Year","No",25434,152,33,0
"Male",41,1,28,0,"1-2 Year","Yes",38637,26,103,0
"Male",21,1,36,0,"< 1 Year","No",32137,152,179,0
"Male",25,1,28,0,"< 1 Year","Yes",51543,152,204,0
"Male",43,1,28,0,"1-2 Year","Yes",25833,124,285,0
"Female",26,1,18,0,"< 1 Year","Yes",47563,152,265,0
"Male",70,1,46,0,"> 2 Years","Yes",40605,26,62,0
"Male",61,1,28,0,"1-2 Year","Yes",2630,26,297,1
"Female",26,1,50,1,"< 1 Year","No",28556,152,38,0
"Male",25,1,28,1,"< 1 Year","No",31553,152,293,0
"Female",28,1,8,0,"< 1 Year","No",2630,152,44,0
"Male",26,1,30,1,"< 1 Year","No",21082,152,256,0
"Male",55,1,35,1,"1-2 Year","No",23220,89,291,0
"Female",29,1,21,1,"< 1 Year","No",2630,152,135,0
"Male",93,1,28,0,"1-2 Year","Yes",30742,26,190,1
"Male",51,1,28,0,"1-2 Year","Yes",68264,24,153,0
"Male",71,1,41,0,"1-2 Year","Yes",59586,26,146,1
"Male",24,1,41,1,"< 1 Year","No",43190,152,272,0
"Female",49,1,28,0,"1-2 Year","Yes",107446,26,216,1
"Female",45,1,28,1,"1-2 Year","No",59315,122,68,0
"Male",64,1,50,0,"1-2 Year","Yes",29018,26,83,0
"Female",46,1,46,1,"1-2 Year","No",30907,93,167,0
"Female",48,1,28,0,"> 2 Years","Yes",46615,26,130,1
"Male",24,1,46,1,"< 1 Year","No",45202,152,30,0
"Male",22,1,33,1,"< 1 Year","No",30331,152,55,0
"Male",36,1,15,0,"1-2 Year","Yes",30165,124,47,1
"Female",68,1,28,1,"1-2 Year","No",43440,124,183,0
"Male",21,1,7,1,"< 1 Year","No",48667,160,276,0
"Male",23,1,15,1,"< 1 Year","Yes",29431,160,92,0
"Male",48,1,20,1,"1-2 Year","No",2630,26,181,0
"Male",48,1,8,0,"1-2 Year","Yes",39240,124,267,0
"Female",51,1,30,1,"1-2 Year","No",31917,152,64,0
"Male",46,1,28,0,"1-2 Year","Yes",2630,122,15,0
"Male",72,1,8,0,"> 2 Years","Yes",2630,156,11,0
"Male",52,1,8,1,"1-2 Year","No",42682,124,71,0
"Female",33,1,46,1,"1-2 Year","No",53169,156,110,1
"Female",22,1,33,1,"< 1 Year","No",32124,152,203,0
"Male",47,1,28,0,"1-2 Year","Yes",31847,124,26,1
"Male",40,1,3,1,"1-2 Year","Yes",17617,124,290,0
"Female",32,1,27,0,"1-2 Year","Yes",2630,124,132,1
"Male",37,1,7,0,"1-2 Year","Yes",2630,154,79,0
"Male",73,1,43,0,"1-2 Year","Yes",35986,26,276,0
"Male",25,1,28,1,"< 1 Year","No",45487,152,89,0
"Female",37,1,33,1,"1-2 Year","No",31439,22,264,0
"Female",24,1,41,1,"< 1 Year","No",26028,152,165,0
"Female",26,1,41,0,"< 1 Year","Yes",2630,160,258,0
"Male",52,1,38,0,"1-2 Year","Yes",27174,26,77,0
"Male",49,1,35,0,"1-2 Year","Yes",36738,26,250,0
"Female",39,1,28,1,"1-2 Year","No",46310,26,168,0
"Male",22,1,45,1,"< 1 Year","No",29319,152,97,0
"Male",41,1,28,0,"1-2 Year","No",27000,155,47,0
"Male",50,1,21,1,"1-2 Year","No",28573,26,118,0
"Male",42,1,47,0,"1-2 Year","Yes",29663,26,146,1
"Male",59,1,33,0,"1-2 Year","Yes",2630,156,109,1
"Male",23,1,12,1,"< 1 Year","No",23061,152,71,0
"Female",61,1,28,0,"1-2 Year","Yes",68900,124,40,0
"Male",24,1,30,0,"< 1 Year","No",26650,152,59,0
"Female",28,1,41,1,"< 1 Year","No",41450,152,288,0
"Female",23,1,30,1,"< 1 Year","No",30543,152,13,0
"Male",43,1,28,1,"1-2 Year","No",31841,23,243,0
"Male",25,1,31,1,"< 1 Year","No",2630,152,194,0
"Female",48,1,28,0,"> 2 Years","Yes",30408,124,148,0
"Male",27,1,8,0,"< 1 Year","Yes",33487,26,244,0
"Female",24,1,15,0,"< 1 Year","Yes",40170,152,82,1
"Male",55,1,48,1,"1-2 Year","Yes",2630,26,172,0
"Female",23,1,28,1,"< 1 Year","No",38350,152,161,0
"Male",51,1,41,0,"1-2 Year","Yes",26344,26,156,1
"Female",29,1,30,0,"1-2 Year","Yes",28204,124,12,1
"Male",23,1,36,1,"< 1 Year","No",43908,152,65,0
"Female",57,1,39,0,"1-2 Year","Yes",2630,156,283,0
"Male",21,1,30,0,"< 1 Year","Yes",37260,160,74,0
"Male",23,1,35,0,"1-2 Year","Yes",36245,124,24,1
"Female",22,1,6,1,"< 1 Year","No",24457,152,235,0
"Male",24,1,29,1,"< 1 Year","No",31241,152,192,0
"Male",20,1,46,1,"< 1 Year","No",67052,160,241,0
"Male",22,1,14,1,"< 1 Year","No",32046,152,115,0
"Male",23,1,28,0,"< 1 Year","Yes",69856,124,293,1
"Male",24,1,37,1,"< 1 Year","No",35802,152,202,0
"Male",23,1,30,1,"< 1 Year","No",23026,152,31,0
"Male",46,1,28,0,"1-2 Year","Yes",39912,124,171,1
"Female",25,1,30,0,"< 1 Year","No",18151,151,74,0
"Male",75,1,28,0,"1-2 Year","Yes",51590,26,206,0
"Male",41,1,28,0,"1-2 Year","Yes",30437,124,252,1
"Female",71,1,28,0,"1-2 Year","Yes",41362,139,70,0
"Female",41,1,28,1,"1-2 Year","No",39819,26,95,0
"Male",27,1,46,1,"1-2 Year","No",49544,122,17,0
"Male",35,1,28,0,"1-2 Year","Yes",34928,26,138,1
"Female",26,1,41,1,"< 1 Year","No",26271,152,60,0
"Male",25,1,3,0,"< 1 Year","No",32465,152,232,0
"Female",49,1,28,0,"1-2 Year","Yes",55861,122,25,0
"Male",23,1,44,1,"< 1 Year","No",27480,151,57,0
"Male",29,1,28,0,"1-2 Year","Yes",25692,124,270,1
"Male",50,1,46,0,"1-2 Year","Yes",28375,124,175,0
"Male",79,1,41,0,"1-2 Year","Yes",40993,26,98,1
"Female",72,1,8,0,"> 2 Years","Yes",2630,26,276,0
"Female",68,1,8,0,"1-2 Year","Yes",67500,7,208,0
"Male",42,1,33,1,"1-2 Year","No",35055,124,299,0
"Male",46,1,28,1,"1-2 Year","No",23845,26,229,0
"Male",25,1,46,0,"< 1 Year","Yes",2630,156,145,1
"Female",21,1,46,1,"< 1 Year","No",25827,152,92,0
"Female",21,1,28,0,"1-2 Year","Yes",2630,157,230,0
"Female",49,1,15,0,"1-2 Year","Yes",29414,14,28,0
"Female",43,1,8,0,"1-2 Year","Yes",2630,156,247,1
"Female",27,1,36,0,"< 1 Year","No",39422,152,212,0
"Male",53,1,29,0,"1-2 Year","Yes",2630,157,219,1
"Male",36,1,28,0,"1-2 Year","Yes",31505,29,281,0
"Male",69,1,20,0,"1-2 Year","Yes",2630,26,199,0
"Male",26,1,13,1,"< 1 Year","No",35197,152,270,0
"Female",49,1,11,0,"1-2 Year","Yes",39276,157,74,1
"Male",44,1,28,0,"1-2 Year","Yes",25103,122,143,1
"Female",23,1,36,1,"< 1 Year","No",33890,152,38,0
"Male",41,1,0,0,"1-2 Year","Yes",2630,122,181,0
"Male",28,1,36,0,"< 1 Year","No",47230,152,198,0
"Female",25,1,28,1,"< 1 Year","No",46413,152,99,0
"Female",24,1,15,0,"< 1 Year","No",28144,152,285,0
"Male",61,1,41,1,"1-2 Year","No",29376,124,76,0
"Male",120,1,28,0,"1-2 Year","Yes",45069,26,49,0
"Female",49,1,28,0,"1-2 Year","No",39786,26,64,0
"Female",72,1,26,1,"1-2 Year","No",42565,26,126,0
"Female",24,1,2,0,"< 1 Year","Yes",32995,152,209,0
"Male",41,1,28,1,"1-2 Year","No",45160,26,204,0
"Male",23,1,13,1,"< 1 Year","No",21214,152,104,0
"Female",23,1,43,1,"< 1 Year","No",29469,152,143,0
"Male",21,1,15,1,"< 1 Year","No",30925,152,226,0
"Male",24,1,2,1,"< 1 Year","No",27064,152,203,0
"Female",44,1,20,0,"1-2 Year","Yes",2630,31,55,0
"Female",64,1,30,1,"> 2 Years","Yes",2630,157,111,0
"Female",22,1,46,0,"< 1 Year","Yes",28218,152,132,0
"Female",40,1,28,0,"1-2 Year","Yes",34598,26,11,0
"Male",60,1,6,1,"1-2 Year","No",46907,124,110,0
"Female",58,1,28,0,"> 2 Years","Yes",49913,124,138,1
"Male",22,1,7,0,"< 1 Year","Yes",37021,152,77,0
"Male",44,1,50,1,"1-2 Year","No",36312,124,170,0
"Female",70,1,11,0,"> 2 Years","Yes",51508,26,197,0
"Female",41,1,41,0,"1-2 Year","Yes",30502,26,69,1
"Male",31,1,16,1,"< 1 Year","No",36345,152,287,0
"Female",48,1,28,0,"> 2 Years","Yes",65821,26,113,1
"Male",48,1,35,1,"1-2 Year","No",2630,160,77,0
"Female",64,1,28,0,"1-2 Year","Yes",48281,26,58,0
"Male",23,1,8,0,"< 1 Year","No",29626,152,105,0
"Male",25,1,3,1,"< 1 Year","No",29057,152,272,0
"Male",25,1,28,0,"1-2 Year","Yes",39425,163,36,0
"Female",23,1,15,1,"< 1 Year","No",28310,152,100,0
"Male",44,1,28,0,"1-2 Year","Yes",40958,26,19,0
"Male",51,1,46,1,"1-2 Year","No",22599,25,240,0
"Female",26,1,15,1,"< 1 Year","No",25864,152,25,0
"Female",27,1,11,1,"< 1 Year","No",23211,152,122,0
"Female",23,1,45,0,"< 1 Year","Yes",36875,152,135,0
"Female",40,1,2,1,"1-2 Year","No",25184,26,107,0
"Male",48,1,28,0,"1-2 Year","Yes",59030,26,212,1
"Female",23,1,43,1,"< 1 Year","No",30752,152,192,0
"Female",55,1,28,0,"1-2 Year","Yes",2630,157,16,0
"Female",39,1,3,1,"1-2 Year","Yes",22131,26,224,0
"Female",47,1,41,0,"1-2 Year","Yes",54272,124,180,0
"Male",60,1,28,0,"1-2 Year","Yes",41391,26,42,0
"Male",50,1,28,0,"1-2 Year","Yes",41032,124,153,0
"Male",44,1,28,0,"> 2 Years","Yes",39261,124,222,1
"Male",20,1,40,0,"< 1 Year","Yes",34417,160,174,0
"Male",21,1,50,0,"< 1 Year","Yes",37850,160,100,0
"Female",22,1,29,1,"< 1 Year","No",28372,152,147,0
"Female",41,1,28,0,"1-2 Year","Yes",52138,124,74,0
"Male",51,1,28,0,"1-2 Year","Yes",23823,154,246,0
"Female",44,1,28,0,"1-2 Year","Yes",41634,26,79,0
"Female",22,1,6,1,"< 1 Year","No",2630,152,85,0
"Female",26,1,8,0,"< 1 Year","No",46466,152,246,0
"Male",25,1,50,1,"< 1 Year","No",28160,152,44,0
"Male",35,1,8,0,"1-2 Year","Yes",27512,124,105,1
"Male",71,1,29,0,"1-2 Year","Yes",34960,26,277,0
"Male",24,1,24,0,"< 1 Year","Yes",36005,152,28,1
"Female",31,1,38,0,"1-2 Year","Yes",2630,156,16,1
"Male",57,1,3,0,"1-2 Year","Yes",2630,26,157,1
"Female",31,1,50,1,"< 1 Year","No",37608,152,14,0
"Male",23,1,27,1,"< 1 Year","No",26007,152,183,0
"Female",31,1,18,1,"< 1 Year","No",24903,152,68,0
"Male",52,1,28,0,"1-2 Year","Yes",2630,156,283,0
"Female",29,1,28,0,"1-2 Year","Yes",39187,124,98,1
"Male",46,1,28,0,"1-2 Year","Yes",57238,26,155,1
"Female",73,1,3,0,"1-2 Year","Yes",20074,124,145,0
"Female",21,1,26,0,"< 1 Year","Yes",24881,152,97,0
"Female",52,1,28,0,"1-2 Year","Yes",2630,158,199,1
"Male",33,1,3,1,"< 1 Year","No",32113,152,177,0
"Female",42,1,28,1,"1-2 Year","No",2630,122,120,0
"Male",55,1,5,0,"1-2 Year","Yes",2630,157,282,0
"Male",50,1,48,0,"1-2 Year","Yes",2630,124,275,0
"Female",44,1,28,0,"1-2 Year","Yes",41379,26,290,1
"Male",50,1,33,0,"> 2 Years","Yes",40841,124,154,0
"Female",27,1,15,1,"< 1 Year","No",36385,160,83,0
"Male",24,1,30,1,"< 1 Year","No",31545,152,132,0
"Male",20,1,6,1,"< 1 Year","No",33229,156,270,0
"Female",25,1,35,1,"< 1 Year","No",29848,152,294,0
"Male",39,1,28,1,"1-2 Year","No",36853,61,143,0
"Male",44,1,28,0,"1-2 Year","Yes",40593,122,18,1
"Female",21,1,46,1,"< 1 Year","No",28654,160,286,0
"Female",22,1,11,1,"< 1 Year","No",33382,152,54,0
"Female",45,1,28,0,"1-2 Year","Yes",43252,154,258,0
"Female",33,1,50,1,"< 1 Year","No",36543,152,275,0
"Female",23,1,37,1,"< 1 Year","No",32384,152,174,0
"Male",57,1,28,0,"1-2 Year","Yes",61512,124,240,0
"Male",54,1,28,0,"1-2 Year","No",35064,124,279,0
"Female",22,1,41,0,"< 1 Year","Yes",45194,152,285,0
"Female",36,1,8,1,"1-2 Year","No",27666,154,100,0
"Female",22,1,2,1,"< 1 Year","No",23451,152,163,0
"Male",53,1,28,1,"1-2 Year","No",34302,26,251,0
"Female",31,1,1,0,"> 2 Years","Yes",2630,26,120,0
"Female",40,1,40,0,"1-2 Year","Yes",2630,157,174,0
"Male",36,1,33,0,"1-2 Year","Yes",38874,26,38,0
"Female",27,1,46,1,"< 1 Year","No",24164,152,90,0
"Female",22,1,47,0,"< 1 Year","No",23856,152,271,0
"Male",64,1,28,0,"1-2 Year","Yes",58417,122,172,1
"Female",34,1,8,0,"1-2 Year","Yes",2630,156,76,0
"Male",21,1,2,0,"< 1 Year","Yes",29631,160,14,0
"Male",50,1,3,1,"1-2 Year","No",36080,124,237,0
"Male",35,1,15,1,"1-2 Year","No",51930,152,102,0
"Female",27,1,29,1,"< 1 Year","No",21515,152,148,0
"Male",23,1,3,1,"< 1 Year","Yes",25242,152,72,0
"Male",25,1,10,1,"< 1 Year","No",25702,152,241,0
"Male",27,1,11,1,"< 1 Year","No",24055,152,168,0
"Male",49,1,28,0,"1-2 Year","Yes",58571,55,265,0
"Male",43,1,8,0,"1-2 Year","No",34328,26,206,0
"Female",40,1,28,0,"> 2 Years","Yes",44575,26,88,1
"Female",65,0,28,0,"1-2 Year","Yes",50461,26,257,0
"Female",27,1,15,0,"< 1 Year","Yes",2630,152,122,0
"Male",24,1,15,0,"< 1 Year","No",41305,152,285,0
"Male",46,1,30,0,"1-2 Year","Yes",2630,156,184,0
"Female",20,1,28,0,"1-2 Year","Yes",2630,158,12,0
"Female",33,1,28,1,"1-2 Year","No",49098,13,253,0
"Female",25,1,6,1,"< 1 Year","No",20322,152,92,0
"Female",23,1,15,1,"< 1 Year","No",32190,152,243,0
"Male",29,1,8,1,"< 1 Year","No",33541,152,179,0
"Male",41,1,36,0,"1-2 Year","Yes",2630,157,187,1
"Female",27,1,15,1,"< 1 Year","No",42262,152,283,0
"Male",56,1,8,1,"1-2 Year","No",2630,26,76,0
"Male",28,1,28,1,"< 1 Year","No",39661,152,88,0
"Female",35,1,28,0,"> 2 Years","Yes",67205,55,74,1
"Male",28,1,47,0,"< 1 Year","Yes",34975,152,186,1
"Male",23,1,11,1,"< 1 Year","No",44715,152,224,0
"Female",61,1,45,1,"1-2 Year","No",27551,13,263,0
"Female",23,1,10,1,"< 1 Year","No",27043,152,71,0
"Female",39,1,8,0,"1-2 Year","Yes",45075,155,46,1
"Female",25,1,6,1,"< 1 Year","No",27428,152,247,0
"Male",44,1,6,0,"1-2 Year","Yes",2630,124,63,0
"Female",51,1,39,1,"1-2 Year","No",30385,127,189,0
