Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Damage,Annual_Premium,Vintage,Response,VAge1,VAge2,VAge3,VPolicy0,VPolicy1,VPolicy2,VPolicy3
0,25,1,28,0,1,49083,104,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,56,1,41,0,1,39355,113,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,29,1,29,1,0,26175,55,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,51,1,47,0,1,32289,117,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,31,1,3,1,0,20512,106,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,24,1,14,1,0,2630,256,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,48,1,31,1,0,2630,18,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,54,1,48,1,0,2630,206,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,36,1,28,1,0,32333,134,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,47,1,8,0,1,63606,167,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,31,1,29,1,0,27485,77,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,22,1,30,0,1,34817,138,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,54,1,28,0,1,48465,293,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,30,1,28,0,0,46237,291,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,20,1,36,0,1,24538,94,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,62,1,8,0,1,2630,14,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,57,1,28,0,1,33774,238,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,44,1,30,1,0,2630,134,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,39,1,6,1,1,26097,156,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,37,1,28,0,1,44480,141,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,36,1,45,0,1,22519,68,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,32,1,21,0,1,32977,287,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,32,1,21,1,0,29839,267,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,40,1,16,0,1,14488,188,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,26,1,15,1,0,31986,125,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,74,1,7,0,1,37126,32,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,48,1,28,1,0,42361,216,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,24,1,30,1,0,38959,40,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,48,1,28,0,1,45847,43,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,53,1,40,0,1,29181,203,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,36,1,28,0,1,49945,196,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,26,1,29,0,1,58240,84,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,70,1,47,0,1,26869,145,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,33,1,46,0,1,27416,21,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,46,1,28,1,0,44129,137,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,27,1,36,1,0,32279,31,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,63,1,46,0,1,45529,23,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,78,1,48,1,0,2630,237,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,20,1,47,0,0,28653,232,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,27,1,8,1,0,42083,231,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,22,1,11,1,0,28736,47,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,56,1,28,1,0,53421,183,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,77,1,15,0,1,47590,28,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,30,1,30,1,0,32606,106,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,24,1,28,0,0,45916,96,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,25,1,28,1,0,25243,58,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,43,1,28,0,1,41321,37,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,21,1,36,0,1,32452,71,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,23,1,2,0,0,2630,184,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,32,1,28,0,1,30501,206,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,22,1,10,1,0,24474,265,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,27,1,20,0,1,2630,101,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,21,1,37,0,1,35723,125,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,28,1,10,1,0,19337,107,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,47,1,28,0,1,37685,107,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,54,1,28,0,1,2630,65,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,51,1,28,0,1,40284,238,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,30,1,28,0,1,54571,164,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,42,1,8,0,1,50236,116,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,39,1,15,0,1,2630,163,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,23,1,41,1,0,47120,81,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,23,1,29,1,0,27091,190,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,79,1,28,0,1,50354,233,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,24,1,37,1,0,41122,11,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,23,1,8,0,1,31489,206,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,45,1,28,0,1,37697,206,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,46,1,28,1,0,29578,14,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,40,1,28,0,1,36041,235,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,53,1,28,1,0,40491,210,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,68,1,46,0,1,45378,183,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,44,1,28,0,1,44029,182,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,46,1,11,0,1,31900,90,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,60,1,43,0,1,28186,103,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,32,1,14,0,1,2630,199,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,60,1,28,1,0,38105,86,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,46,1,9,0,1,2630,199,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,55,1,28,0,1,2630,67,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,34,1,28,0,1,32875,53,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,58,1,28,0,1,42899,228,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,41,1,29,0,1,24541,125,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,40,1,6,1,0,31154,182,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,21,1,46,1,0,24725,198,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,37,1,36,1,0,39793,98,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,22,1,3,1,0,42922,217,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,36,1,16,0,1,31632,255,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,22,1,36,1,0,27886,87,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,40,1,41,0,1,29145,117,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,22,1,28,1,0,42231,93,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,38,1,28,0,1,66043,284,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,45,1,3,0,1,29029,233,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,45,1,29,0,1,35548,277,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,23,1,8,1,0,33627,154,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,29,1,46,1,0,28500,197,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,26,1,47,0,1,2630,31,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,38,1,29,0,1,38672,152,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,51,1,46,0,1,26241,165,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,30,1,29,0,1,2630,172,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,27,1,10,1,0,28350,194,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,42,1,28,0,1,37649,47,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,58,0,29,0,1,31840,34,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,25,1,36,1,0,27565,212,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,44,1,23,0,1,2630,2567,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,22,1,46,1,0,30021,97,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,50,1,43,0,0,28083,23,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,55,1,29,1,1,2630,288,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,46,1,46,0,1,33439,72,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,58,1,11,0,0,23542,50,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,30,1,36,1,0,26444,51,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,39,1,28,0,1,27282,46,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,48,1,38,1,0,2630,169,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,23,1,45,1,1,38698,213,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,22,1,18,1,0,2630,277,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,44,1,35,0,1,37005,52,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,24,1,41,0,1,2630,92,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,26,1,32,1,0,30002,68,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,54,1,46,0,0,26420,77,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,38,1,28,0,1,28613,101,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,25,1,36,0,0,33363,280,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,35,1,46,0,1,41419,83,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,45,1,50,1,0,2630,36,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,34,1,11,0,1,39792,221,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,37,1,15,0,1,25807,121,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,58,1,28,0,1,56593,140,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,25,1,28,1,0,64373,295,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,24,1,17,1,0,2630,266,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,38,1,28,0,1,2630,177,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,56,1,28,0,1,34620,105,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,22,1,6,1,0,36108,218,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,21,1,8,0,0,40225,107,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,50,1,16,0,1,25946,161,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,23,1,4,0,1,22387,98,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,23,1,17,1,1,35565,231,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,66,1,28,1,0,61290,125,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,39,1,21,0,1,2630,278,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,44,1,28,0,1,33007,251,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,37,1,18,1,0,2630,292,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,26,1,25,0,1,22205,87,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,25,1,8,0,0,59940,78,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,52,1,8,0,1,33271,78,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,22,1,5,0,1,24799,229,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,54,1,28,0,1,45256,99,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,34,1,41,1,0,25434,33,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,41,1,28,0,1,38637,103,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,21,1,36,0,0,32137,179,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,25,1,28,0,1,51543,204,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,43,1,28,0,1,25833,285,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,26,1,18,0,1,47563,265,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,70,1,46,0,1,40605,62,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,61,1,28,0,1,2630,297,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,26,1,50,1,0,28556,38,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,25,1,28,1,0,31553,293,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,28,1,8,0,0,2630,44,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,26,1,30,1,0,21082,256,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,55,1,35,1,0,23220,291,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,29,1,21,1,0,2630,135,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,51,1,28,0,1,68264,153,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,71,1,41,0,1,59586,146,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,24,1,41,1,0,43190,272,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,49,1,28,0,1,107446,216,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,45,1,28,1,0,59315,68,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,64,1,50,0,1,29018,83,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,46,1,46,1,0,30907,167,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,48,1,28,0,1,46615,130,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,24,1,46,1,0,45202,30,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,22,1,33,1,0,30331,55,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,36,1,15,0,1,30165,47,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,68,1,28,1,0,43440,183,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,21,1,7,1,0,48667,276,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,23,1,15,1,1,29431,92,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,48,1,20,1,0,2630,181,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,48,1,8,0,1,39240,267,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,51,1,30,1,0,31917,64,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,46,1,28,0,1,2630,15,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,72,1,8,0,1,2630,11,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,52,1,8,1,0,42682,71,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,33,1,46,1,0,53169,110,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,22,1,33,1,0,32124,203,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,47,1,28,0,1,31847,26,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,40,1,3,1,1,17617,290,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,32,1,27,0,1,2630,132,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,37,1,7,0,1,2630,79,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,73,1,43,0,1,35986,276,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,25,1,28,1,0,45487,89,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,37,1,33,1,0,31439,264,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,24,1,41,1,0,26028,165,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,26,1,41,0,1,2630,258,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,52,1,38,0,1,27174,77,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,49,1,35,0,1,36738,250,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,39,1,28,1,0,46310,168,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,22,1,45,1,0,29319,97,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,41,1,28,0,0,27000,47,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,50,1,21,1,0,28573,118,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,42,1,47,0,1,29663,146,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,59,1,33,0,1,2630,109,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,23,1,12,1,0,23061,71,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,61,1,28,0,1,68900,40,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,24,1,30,0,0,26650,59,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,28,1,41,1,0,41450,288,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,23,1,30,1,0,30543,13,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,43,1,28,1,0,31841,243,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,25,1,31,1,0,2630,194,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,48,1,28,0,1,30408,148,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,27,1,8,0,1,33487,244,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,24,1,15,0,1,40170,82,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,55,1,48,1,1,2630,172,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,23,1,28,1,0,38350,161,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,51,1,41,0,1,26344,156,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,29,1,30,0,1,28204,12,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,23,1,36,1,0,43908,65,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,57,1,39,0,1,2630,283,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,21,1,30,0,1,37260,74,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,23,1,35,0,1,36245,24,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,22,1,6,1,0,24457,235,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,24,1,29,1,0,31241,192,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,20,1,46,1,0,67052,241,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,22,1,14,1,0,32046,115,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,23,1,28,0,1,69856,293,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,24,1,37,1,0,35802,202,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,23,1,30,1,0,23026,31,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,46,1,28,0,1,39912,171,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,25,1,30,0,0,18151,74,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,75,1,28,0,1,51590,206,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,41,1,28,0,1,30437,252,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,71,1,28,0,1,41362,70,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,41,1,28,1,0,39819,95,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,27,1,46,1,0,49544,17,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,35,1,28,0,1,34928,138,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,26,1,41,1,0,26271,60,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,25,1,3,0,0,32465,232,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,49,1,28,0,1,55861,25,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,23,1,44,1,0,27480,57,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,29,1,28,0,1,25692,270,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,50,1,46,0,1,28375,175,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,79,1,41,0,1,40993,98,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,72,1,8,0,1,2630,276,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,68,1,8,0,1,67500,208,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,42,1,33,1,0,35055,299,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,46,1,28,1,0,23845,229,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,25,1,46,0,1,2630,145,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,21,1,46,1,0,25827,92,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,21,1,28,0,1,2630,230,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,49,1,15,0,1,29414,28,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,43,1,8,0,1,2630,247,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,27,1,36,0,0,39422,212,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,53,1,29,0,1,2630,219,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
