,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
14427,Female,23,1,14,1,< 1 Year,No,43924,152,123,0
32678,Female,23,1,28,1,< 1 Year,No,43652,152,60,0
57133,Female,29,1,14,1,< 1 Year,No,2630,152,133,0
1786,Female,25,1,4,1,< 1 Year,No,26046,152,218,0
36167,Female,46,1,28,0,1-2 Year,Yes,42790,26,40,0
54190,Male,59,1,28,0,1-2 Year,Yes,41083,3,143,1
24318,Male,54,1,41,0,1-2 Year,Yes,51883,26,26,1
27889,Male,45,1,28,0,1-2 Year,Yes,58763,26,258,1
13375,Male,70,1,28,0,1-2 Year,Yes,63447,26,130,0
57830,Female,63,1,28,0,> 2 Years,Yes,35328,122,132,0
36759,Male,24,1,8,1,< 1 Year,No,2630,160,182,0
37163,Female,51,1,28,0,1-2 Year,No,46152,26,133,0
55354,Male,24,1,43,0,< 1 Year,Yes,40196,152,118,0
45032,Male,74,1,28,0,1-2 Year,Yes,2630,26,278,0
40616,Female,24,1,37,0,< 1 Year,Yes,25119,152,245,0
23921,Male,27,1,28,1,< 1 Year,No,34527,152,231,0
37593,Male,33,1,48,0,1-2 Year,Yes,2630,157,189,1
41183,Male,21,1,8,1,< 1 Year,No,48753,160,12,0
42451,Male,20,1,46,1,< 1 Year,No,22715,160,52,0
46537,Male,54,1,15,0,> 2 Years,Yes,43789,124,142,0
45284,Female,21,1,28,0,< 1 Year,Yes,40548,152,22,1
62736,Female,30,1,50,1,< 1 Year,No,16749,152,181,0
54010,Male,55,1,29,0,1-2 Year,Yes,31532,26,87,0
4427,Male,20,1,46,0,< 1 Year,Yes,18460,160,158,0
29786,Male,20,1,41,1,< 1 Year,No,23106,160,105,0
62892,Male,48,1,28,1,1-2 Year,No,34213,124,133,0
61860,Female,22,1,6,0,1-2 Year,Yes,26360,124,23,1
12522,Male,34,1,50,0,1-2 Year,No,2630,152,185,0
59912,Male,40,1,32,0,1-2 Year,Yes,32198,124,206,0
25745,Male,50,1,28,0,1-2 Year,Yes,46446,26,56,0
59148,Male,30,1,41,0,< 1 Year,Yes,29161,124,176,1
19124,Male,35,1,34,0,1-2 Year,Yes,29968,124,269,0
14307,Female,32,1,28,1,< 1 Year,No,32999,26,252,0
62926,Female,25,1,36,0,< 1 Year,Yes,34889,152,203,0
21350,Male,26,1,12,0,< 1 Year,Yes,20661,152,82,1
50816,Male,46,1,8,0,1-2 Year,Yes,39463,26,146,1
61809,Male,25,1,14,1,< 1 Year,No,22582,152,248,0
32877,Female,69,1,46,1,1-2 Year,No,23069,124,249,0
36673,Male,44,1,19,0,1-2 Year,Yes,28345,124,156,0
65105,Male,55,1,36,0,1-2 Year,Yes,42731,26,187,0
43968,Male,44,1,28,1,1-2 Year,No,37214,124,196,0
21215,Female,24,1,46,0,< 1 Year,Yes,45272,152,241,0
65473,Female,69,1,28,0,1-2 Year,Yes,39322,26,85,0
5281,Male,26,1,36,1,< 1 Year,No,26583,152,175,0
22137,Female,71,1,35,1,1-2 Year,No,48631,152,22,0
3293,Female,50,1,41,0,1-2 Year,Yes,40951,26,114,1
26301,Female,25,1,28,1,< 1 Year,No,32011,152,223,0
9633,Female,30,1,8,0,< 1 Year,No,68262,152,74,0
42753,Male,21,1,8,0,< 1 Year,Yes,27029,160,56,0
8851,Male,34,1,18,1,1-2 Year,No,27749,152,273,0
64620,Male,50,1,23,0,1-2 Year,Yes,33094,124,130,1
28827,Male,59,1,3,0,1-2 Year,Yes,48608,156,246,1
20516,Male,41,1,14,1,1-2 Year,No,23403,35,239,0
56552,Male,52,1,8,0,< 1 Year,No,2630,1,246,0
42490,Female,30,1,41,1,< 1 Year,No,28698,152,265,0
13266,Female,26,1,3,1,< 1 Year,No,25952,152,74,0
33134,Female,22,1,42,0,< 1 Year,Yes,23414,152,218,0
7235,Female,38,1,0,1,1-2 Year,No,2630,26,112,0
24483,Female,26,1,17,1,< 1 Year,No,2630,152,50,0
55793,Female,38,1,30,1,1-2 Year,No,27393,152,200,0
31347,Male,58,1,28,0,> 2 Years,Yes,43891,124,173,1
41161,Female,46,1,8,1,1-2 Year,No,38733,124,270,0
14111,Male,24,1,8,1,< 1 Year,No,38249,152,142,0
14412,Female,61,1,28,0,1-2 Year,Yes,27162,156,272,0
10212,Female,22,1,13,1,< 1 Year,No,2630,160,281,0
13574,Male,29,1,36,0,< 1 Year,No,43130,152,44,0
44387,Female,29,1,7,1,1-2 Year,No,33457,124,83,0
57595,Male,24,1,6,1,< 1 Year,No,30304,152,197,0
40191,Male,50,1,28,0,1-2 Year,Yes,46482,26,21,0
2684,Female,27,1,33,1,< 1 Year,No,27006,152,109,0
3230,Male,24,1,17,1,< 1 Year,No,45071,152,186,0
9853,Male,39,1,46,0,1-2 Year,Yes,22105,26,163,0
2014,Female,22,1,47,1,< 1 Year,No,32716,152,122,0
44250,Female,27,1,10,1,< 1 Year,No,2630,160,230,0
50315,Male,61,1,28,0,> 2 Years,Yes,2630,26,235,0
34627,Female,33,1,28,0,1-2 Year,Yes,26430,124,157,1
46079,Male,25,1,28,1,< 1 Year,No,44183,152,106,0
17750,Female,44,1,28,1,1-2 Year,No,58517,124,266,0
37977,Male,46,1,41,0,1-2 Year,Yes,33843,26,251,1
50519,Female,44,1,28,0,1-2 Year,No,35561,124,250,0
14296,Female,62,1,38,0,1-2 Year,Yes,34222,26,151,0
36761,Female,44,1,28,0,1-2 Year,Yes,37505,124,217,1
34949,Male,64,1,0,0,> 2 Years,Yes,2630,122,160,0
3644,Female,33,1,50,1,< 1 Year,No,2630,152,158,0
60674,Male,70,1,29,1,1-2 Year,No,37165,152,115,0
26348,Male,52,1,23,0,1-2 Year,No,23645,26,251,0
61025,Male,75,1,43,1,1-2 Year,No,50762,26,54,0
29853,Female,42,1,41,0,1-2 Year,Yes,2630,157,27,1
11813,Female,24,1,8,0,< 1 Year,Yes,24582,152,148,0
17723,Male,27,1,4,1,< 1 Year,No,22525,152,141,0
56584,Male,24,1,41,1,< 1 Year,No,14939,152,41,0
39372,Male,23,1,8,1,< 1 Year,No,29592,152,238,0
49915,Male,44,1,28,0,1-2 Year,No,42361,26,166,1
61049,Male,64,1,19,0,1-2 Year,Yes,2630,26,73,0
28807,Male,44,1,25,1,1-2 Year,No,30964,124,196,0
48897,Male,21,1,30,1,< 1 Year,No,32408,152,241,0
61756,Male,24,1,3,0,< 1 Year,Yes,29040,152,188,0
36406,Female,27,1,11,1,< 1 Year,No,53655,152,213,0
12060,Female,23,1,8,1,< 1 Year,No,31471,152,200,0
8100,Male,28,1,3,1,< 1 Year,No,2630,152,67,0
31764,Female,25,1,21,1,< 1 Year,No,39566,152,184,0
46887,Male,41,1,28,0,1-2 Year,Yes,24363,26,93,1
24933,Female,30,1,30,1,< 1 Year,No,2630,160,180,0
13435,Male,25,1,28,1,< 1 Year,No,31746,160,121,0
6498,Female,26,1,8,1,< 1 Year,No,52377,152,194,0
11471,Male,21,1,35,1,< 1 Year,No,113857,152,129,0
38439,Male,52,1,28,0,1-2 Year,Yes,38069,26,264,1
20164,Female,23,1,41,1,< 1 Year,No,22336,152,163,0
42716,Female,24,1,36,0,< 1 Year,Yes,34172,152,141,0
29576,Male,57,1,3,0,1-2 Year,Yes,31991,124,265,0
61365,Male,49,1,28,0,1-2 Year,Yes,24704,26,87,1
22888,Male,58,1,11,1,1-2 Year,No,22359,26,286,0
23511,Female,23,1,31,0,< 1 Year,Yes,2630,152,71,0
2173,Male,24,1,45,0,< 1 Year,Yes,55706,152,181,0
6840,Male,24,1,41,1,< 1 Year,No,30284,152,161,0
25092,Female,20,1,15,0,< 1 Year,No,27691,160,89,0
9935,Female,24,1,33,1,< 1 Year,Yes,2630,160,48,0
60315,Male,46,1,41,0,1-2 Year,Yes,46764,26,52,1
21137,Male,75,1,28,1,1-2 Year,No,40876,37,41,0
60337,Male,21,1,50,1,< 1 Year,No,38731,160,217,0
54179,Male,25,1,41,1,< 1 Year,No,33214,152,223,0
41587,Male,40,1,28,0,1-2 Year,Yes,49575,124,128,0
26685,Male,29,1,8,1,< 1 Year,No,24632,152,192,0
743,Male,47,1,28,0,1-2 Year,Yes,52899,31,85,1
15956,Male,62,1,28,0,1-2 Year,Yes,55432,26,298,0
22225,Male,47,1,28,0,1-2 Year,Yes,69932,26,39,0
54447,Male,39,1,15,1,1-2 Year,No,25252,124,186,0
40377,Male,77,1,8,1,1-2 Year,Yes,38028,26,172,0
23315,Female,23,1,8,1,< 1 Year,No,35550,152,159,0
21819,Male,43,1,17,1,1-2 Year,No,46602,124,54,0
5128,Male,60,1,46,0,1-2 Year,Yes,38124,124,54,1
63267,Male,30,1,46,0,< 1 Year,Yes,23900,124,202,1
51090,Male,20,1,28,1,< 1 Year,No,38305,160,245,0
54282,Male,23,1,29,1,< 1 Year,No,20120,152,272,0
41893,Male,50,1,30,0,1-2 Year,Yes,37718,124,132,0
22375,Male,69,1,31,1,1-2 Year,No,2630,9,246,0
9521,Male,37,1,46,1,1-2 Year,Yes,2630,156,192,0
5111,Male,24,1,29,1,< 1 Year,No,37737,152,13,0
15514,Female,29,1,8,0,1-2 Year,Yes,42439,124,137,1
50109,Male,68,1,28,1,1-2 Year,No,65574,26,221,0
30372,Female,42,1,11,0,1-2 Year,Yes,2630,157,20,1
61819,Female,26,1,3,0,< 1 Year,No,31100,152,230,0
38066,Male,25,1,6,1,< 1 Year,No,27160,152,128,0
48603,Female,22,1,15,0,< 1 Year,Yes,24220,160,216,0
45940,Female,38,1,29,0,1-2 Year,Yes,31448,131,85,0
17129,Female,28,1,18,1,< 1 Year,No,27183,152,298,0
50376,Male,65,1,11,0,1-2 Year,Yes,36475,124,160,0
2390,Male,42,1,3,0,1-2 Year,Yes,41344,26,98,1
61656,Male,56,1,19,0,1-2 Year,Yes,27937,124,106,0
50311,Female,25,1,6,1,< 1 Year,No,24821,152,284,0
2142,Female,39,1,28,1,1-2 Year,Yes,2630,156,201,0
1852,Male,54,1,18,0,1-2 Year,No,29668,124,207,0
59495,Male,36,1,27,1,1-2 Year,No,27122,154,90,0
65624,Male,40,1,8,0,1-2 Year,Yes,39378,26,106,0
40155,Male,32,1,28,1,< 1 Year,No,39156,151,75,0
30274,Male,51,1,8,0,1-2 Year,Yes,29603,124,62,1
10551,Female,24,1,15,1,< 1 Year,No,29059,160,272,0
8572,Male,26,1,46,1,< 1 Year,No,31728,152,156,0
3803,Male,28,1,11,1,< 1 Year,No,27234,152,289,0
6738,Male,29,1,21,0,< 1 Year,Yes,36969,152,49,1
26426,Male,25,1,35,0,< 1 Year,Yes,25418,152,115,0
22415,Male,42,1,46,0,1-2 Year,Yes,24848,124,70,1
2795,Male,24,1,10,0,< 1 Year,Yes,36271,152,177,1
11049,Male,47,1,28,0,1-2 Year,Yes,46998,29,145,1
53183,Male,41,1,40,0,1-2 Year,Yes,23457,124,101,0
41595,Male,52,1,28,0,1-2 Year,Yes,31445,26,223,1
42836,Male,31,1,29,0,< 1 Year,Yes,36350,124,132,1
31284,Male,46,1,8,0,1-2 Year,Yes,31960,25,23,1
33102,Female,74,1,8,0,1-2 Year,Yes,43864,26,229,0
7029,Male,22,1,52,1,< 1 Year,No,26390,152,134,0
28561,Female,22,1,28,1,< 1 Year,Yes,2630,152,209,0
8288,Female,37,1,30,0,1-2 Year,Yes,27393,152,296,0
11225,Male,23,1,29,1,< 1 Year,No,27295,152,51,0
41360,Female,23,1,46,1,< 1 Year,No,28587,151,68,0
35029,Male,23,1,15,1,< 1 Year,No,28327,152,209,0
3108,Female,42,1,28,0,1-2 Year,Yes,58755,26,68,1
507,Male,55,1,28,0,1-2 Year,Yes,25048,122,121,1
59122,Female,24,1,25,1,< 1 Year,No,29151,152,212,0
50545,Female,20,1,47,0,< 1 Year,Yes,43009,160,82,0
4703,Female,35,1,23,0,1-2 Year,No,37696,124,45,0
5263,Male,36,1,21,0,1-2 Year,Yes,32422,124,126,0
12688,Female,34,1,38,0,1-2 Year,Yes,2630,156,268,1
3861,Male,34,1,38,1,1-2 Year,No,26344,26,245,0
60487,Female,26,1,18,1,< 1 Year,No,30926,152,250,0
5920,Female,23,1,49,0,< 1 Year,Yes,17958,152,102,0
21961,Female,25,1,28,1,< 1 Year,No,60843,152,80,0
40905,Female,20,1,27,0,< 1 Year,Yes,37696,160,51,0
48963,Male,51,1,0,1,1-2 Year,No,2630,26,96,0
25707,Female,24,1,8,1,< 1 Year,No,48423,152,260,0
4182,Female,22,1,41,1,< 1 Year,No,22566,152,227,0
28969,Female,26,1,30,0,< 1 Year,Yes,30601,156,78,0
47989,Male,77,1,28,0,> 2 Years,Yes,2630,122,97,0
13347,Female,28,1,21,0,< 1 Year,Yes,29192,26,170,0
48508,Male,27,1,18,0,< 1 Year,Yes,38974,152,139,0
21174,Female,45,1,44,0,1-2 Year,Yes,21939,124,125,1
38398,Female,42,1,41,0,1-2 Year,Yes,2630,157,280,1
51565,Female,71,1,47,0,1-2 Year,Yes,36196,26,25,0
5116,Male,71,1,28,0,1-2 Year,Yes,31548,26,128,1
13677,Female,64,1,28,1,1-2 Year,No,50373,26,55,0
5446,Female,25,1,19,0,< 1 Year,Yes,34484,152,194,0
45707,Female,25,1,45,1,< 1 Year,No,18681,152,89,0
17738,Female,44,1,36,0,1-2 Year,Yes,2630,156,192,1
36700,Male,27,1,36,1,< 1 Year,No,27280,152,194,0
17100,Female,43,1,27,0,1-2 Year,No,23413,152,32,0
25368,Male,40,1,35,0,1-2 Year,Yes,43453,124,259,1
47314,Male,42,1,6,0,1-2 Year,Yes,23262,163,20,1
38181,Female,43,1,40,0,1-2 Year,No,34534,26,221,0
52244,Male,51,1,28,0,1-2 Year,Yes,50826,26,130,1
276,Female,26,1,41,1,< 1 Year,No,26271,152,60,0
7987,Male,53,1,28,0,1-2 Year,Yes,30035,124,13,0
13295,Male,44,1,28,0,< 1 Year,Yes,2630,124,280,1
46744,Male,22,1,47,0,< 1 Year,Yes,41496,163,158,0
5435,Female,28,1,28,0,< 1 Year,Yes,39204,152,41,0
39132,Female,22,1,6,1,< 1 Year,No,20363,152,95,0
2688,Female,61,1,28,0,> 2 Years,Yes,2630,157,190,1
16934,Female,24,1,3,0,< 1 Year,Yes,34237,152,264,0
11106,Male,22,1,28,0,1-2 Year,Yes,49828,155,20,0
58455,Female,25,1,47,1,< 1 Year,Yes,30664,152,244,0
13591,Female,46,1,28,0,1-2 Year,No,38156,157,14,0
26612,Female,33,1,35,1,< 1 Year,No,2630,152,73,0
6423,Female,20,1,8,0,< 1 Year,Yes,37502,160,293,0
52531,Male,46,1,28,0,1-2 Year,Yes,2630,156,283,1
19542,Female,68,1,28,0,1-2 Year,Yes,2630,122,160,0
51432,Female,24,1,34,1,< 1 Year,No,30854,152,227,0
23024,Female,27,1,2,1,< 1 Year,No,24076,160,147,0
54338,Male,43,1,28,1,1-2 Year,No,34718,124,33,0
18080,Female,54,1,28,0,1-2 Year,Yes,37450,13,103,0
34625,Male,54,1,28,1,1-2 Year,No,41604,26,37,0
52701,Male,33,1,39,0,1-2 Year,Yes,30392,124,127,1
64804,Male,56,1,28,0,1-2 Year,Yes,35049,26,263,1
25728,Female,69,1,28,0,1-2 Year,Yes,51250,113,58,0
13866,Male,31,1,8,0,1-2 Year,Yes,30576,154,567,0
3260,Male,59,1,28,1,1-2 Year,No,77392,122,299,0
56678,Female,24,1,28,0,1-2 Year,Yes,34496,124,43,1
28785,Female,41,1,28,0,1-2 Year,Yes,25721,26,144,1
34314,Male,37,1,28,0,1-2 Year,Yes,32535,154,37,0
3243,Female,22,1,25,1,< 1 Year,No,21371,160,89,0
47628,Male,54,1,38,0,1-2 Year,Yes,24284,26,21,0
57544,Male,23,1,2,0,< 1 Year,Yes,24220,152,209,0
50770,Female,21,1,7,0,< 1 Year,Yes,2630,160,100,0
11928,Female,30,1,41,1,< 1 Year,No,24284,152,159,0
17872,Female,23,1,29,1,< 1 Year,No,48195,152,246,0
56202,Female,27,1,30,1,< 1 Year,No,44483,152,255,0
17021,Male,39,1,28,0,1-2 Year,Yes,38082,124,186,1
38751,Male,60,1,11,0,1-2 Year,Yes,18194,120,56,1
45298,Male,40,1,41,1,1-2 Year,No,29593,26,202,0
7368,Female,28,1,8,1,< 1 Year,No,33165,152,57,0
51653,Female,27,1,28,1,< 1 Year,No,60225,152,297,0
59629,Male,53,1,29,1,1-2 Year,No,49475,26,38,0
4329,Female,40,1,28,0,1-2 Year,Yes,68948,4,247,0
20534,Female,45,1,28,0,1-2 Year,Yes,27622,44,129,1
11182,Female,23,1,36,0,< 1 Year,Yes,39842,152,170,0
27983,Female,42,1,32,0,1-2 Year,No,33819,124,284,1
12210,Female,24,1,28,1,< 1 Year,No,31085,151,239,0
41365,Female,59,1,7,1,1-2 Year,No,45748,124,80,0
35601,Male,64,1,15,1,1-2 Year,No,32119,152,126,0
38376,Male,67,1,28,0,1-2 Year,Yes,49098,26,290,0
61582,Female,24,1,41,1,< 1 Year,No,27981,152,125,0
5019,Female,21,1,17,1,< 1 Year,No,40493,160,273,0
8695,Female,26,1,45,0,< 1 Year,Yes,28781,152,52,0
19906,Female,35,1,3,0,1-2 Year,Yes,32529,124,50,0
39276,Male,28,1,28,0,1-2 Year,Yes,43382,124,37,1
23353,Male,58,1,8,0,1-2 Year,Yes,35459,163,104,1
55732,Male,23,1,8,0,< 1 Year,Yes,34597,152,278,0
31380,Male,43,1,41,1,1-2 Year,No,22224,124,199,0
30910,Male,43,1,2,0,1-2 Year,Yes,18822,124,128,1
63700,Female,21,1,28,1,< 1 Year,No,32031,152,141,0
41669,Male,24,1,46,0,< 1 Year,Yes,35510,152,224,0
21134,Female,42,1,8,1,1-2 Year,No,30957,124,37,0
10111,Male,47,1,8,1,1-2 Year,No,31452,124,163,0
2418,Male,62,1,7,1,1-2 Year,No,2630,26,286,0
5394,Male,23,1,8,1,< 1 Year,No,34955,160,281,0
40581,Female,25,1,8,0,< 1 Year,Yes,34279,152,10,0
11926,Male,21,1,11,1,< 1 Year,No,29226,152,143,0
64540,Male,26,1,3,1,< 1 Year,No,25317,152,287,0
41232,Male,38,1,14,0,1-2 Year,Yes,24669,124,31,0
38295,Male,60,1,50,0,> 2 Years,Yes,2630,124,241,1
10317,Male,48,1,28,0,1-2 Year,Yes,46970,124,66,1
51895,Male,57,1,33,0,> 2 Years,Yes,38378,124,207,1
3438,Female,41,1,28,0,1-2 Year,Yes,39732,26,13,0
62214,Male,42,1,24,1,1-2 Year,No,27599,26,268,0
41515,Male,37,1,15,0,1-2 Year,Yes,21394,124,265,1
32783,Male,63,1,28,0,1-2 Year,Yes,52840,26,77,0
11475,Female,24,1,33,1,< 1 Year,No,31300,152,19,0
17827,Male,24,1,11,1,< 1 Year,No,35109,152,202,0
16070,Male,22,1,47,1,< 1 Year,No,34306,152,268,0
24045,Female,23,1,24,0,< 1 Year,No,2630,152,198,0
13766,Female,48,1,36,0,< 1 Year,No,2630,1,181,0
27448,Male,42,1,28,0,1-2 Year,Yes,55555,26,126,1
32904,Female,70,1,28,1,1-2 Year,No,27296,26,128,0
54530,Male,48,1,28,0,1-2 Year,Yes,39370,163,160,0
51971,Male,50,1,28,0,1-2 Year,Yes,39679,120,243,1
27828,Male,20,1,11,1,1-2 Year,No,2630,156,201,0
18517,Male,24,1,28,1,< 1 Year,No,32615,152,76,0
64320,Male,34,1,28,1,1-2 Year,No,72820,151,239,0
30127,Female,42,1,28,0,1-2 Year,Yes,42565,124,75,1
60081,Male,47,1,28,0,1-2 Year,Yes,45042,26,79,1
3371,Female,26,1,4,1,< 1 Year,No,2630,152,264,0
9255,Female,22,1,3,1,< 1 Year,No,35857,160,260,0
52732,Male,24,1,50,1,< 1 Year,No,36355,152,266,0
10430,Male,26,1,27,0,< 1 Year,Yes,28604,152,272,0
12010,Female,30,1,28,0,1-2 Year,Yes,38358,158,242,1
65377,Female,29,1,28,0,1-2 Year,Yes,43081,26,227,0
52789,Male,21,1,8,0,< 1 Year,Yes,31117,160,118,0
17997,Female,24,1,15,0,< 1 Year,Yes,47388,152,176,0
58491,Female,24,1,50,0,< 1 Year,Yes,34597,152,198,0
37486,Female,47,1,50,0,1-2 Year,Yes,2630,8,299,0
5624,Male,24,1,28,1,< 1 Year,No,31409,152,22,0
33158,Male,21,1,13,0,< 1 Year,Yes,21673,160,100,0
63417,Male,46,1,30,1,1-2 Year,No,27036,122,164,0
446,Female,24,1,39,0,< 1 Year,Yes,32162,152,168,1
48322,Male,24,1,26,0,< 1 Year,Yes,43733,152,38,0
23245,Female,52,1,28,0,1-2 Year,No,49713,26,95,1
15708,Male,33,1,41,1,< 1 Year,No,36352,154,168,0
23011,Male,50,1,28,0,1-2 Year,Yes,30566,125,33,0
51642,Female,35,1,11,1,1-2 Year,Yes,2630,156,174,0
64142,Female,23,1,5,0,< 1 Year,No,29916,152,136,0
17477,Female,26,1,28,1,< 1 Year,No,55490,152,17,0
40517,Male,26,1,15,0,< 1 Year,Yes,27001,152,65,0
11155,Male,26,1,28,0,< 1 Year,Yes,16062,152,292,0
29437,Male,29,1,29,0,< 1 Year,Yes,26719,152,127,1
27507,Female,24,1,50,1,< 1 Year,No,61359,152,178,0
18983,Male,45,1,28,0,1-2 Year,Yes,27676,26,146,1
3687,Female,52,1,31,0,1-2 Year,Yes,2630,26,157,1
30509,Male,43,1,28,0,1-2 Year,No,34090,26,21,0
40261,Male,72,1,28,1,1-2 Year,No,42573,26,259,0
31051,Male,62,1,28,0,1-2 Year,Yes,40304,124,173,0
41431,Male,41,1,45,0,1-2 Year,Yes,23333,26,182,0
23713,Female,24,1,39,0,< 1 Year,No,28293,152,229,0
9111,Female,24,1,45,1,< 1 Year,No,2630,83,77,0
19888,Male,24,1,8,1,< 1 Year,No,29605,152,77,0
55504,Female,25,1,3,0,< 1 Year,Yes,2630,152,123,1
45741,Female,52,1,28,1,1-2 Year,No,69856,124,76,0
32824,Male,27,1,28,1,< 1 Year,No,35927,152,214,0
10313,Male,25,1,28,1,< 1 Year,No,44163,152,200,0
2096,Female,25,1,15,1,< 1 Year,No,2630,152,214,0
17259,Male,21,1,46,0,< 1 Year,No,39748,152,267,0
45506,Male,24,1,8,0,< 1 Year,Yes,2630,156,288,0
13921,Female,28,1,45,1,< 1 Year,No,23982,152,223,0
25367,Female,21,1,8,1,< 1 Year,No,31573,160,244,0
537,Male,60,1,48,1,1-2 Year,No,2630,120,202,0
61067,Female,27,1,45,1,< 1 Year,No,33023,152,18,0
31582,Male,47,1,11,0,1-2 Year,Yes,36562,124,159,1
41073,Male,21,1,18,0,< 1 Year,Yes,2630,160,289,1
42513,Male,43,1,28,0,1-2 Year,Yes,23356,26,124,0
41234,Female,23,1,36,1,< 1 Year,No,29609,152,165,0
216,Male,21,1,7,1,< 1 Year,No,48667,160,276,0
22040,Male,40,1,40,0,1-2 Year,Yes,23626,26,56,1
18849,Female,28,1,3,1,< 1 Year,No,25021,152,238,0
147,Male,58,0,29,0,1-2 Year,Yes,31840,124,34,1
57360,Female,23,1,3,1,< 1 Year,No,2630,152,275,0
34216,Female,25,1,15,0,< 1 Year,Yes,2630,26,72,0
39590,Male,40,1,9,0,1-2 Year,Yes,26026,124,101,1
28009,Female,31,1,15,1,< 1 Year,No,30235,152,70,0
25102,Male,35,1,28,1,< 1 Year,No,2630,1,297,0
1672,Male,52,1,11,0,1-2 Year,No,2630,26,68,0
35770,Male,32,1,8,0,< 1 Year,Yes,47376,7,197,0
57152,Male,44,1,33,1,1-2 Year,No,33179,124,43,0
6588,Male,46,1,8,1,1-2 Year,No,56923,124,193,0
14029,Male,44,1,48,0,1-2 Year,Yes,2630,124,289,1
56789,Male,44,1,28,0,1-2 Year,Yes,40263,122,16,1
34593,Male,45,1,28,0,1-2 Year,Yes,37049,26,187,1
34313,Male,60,1,33,0,1-2 Year,No,26650,124,85,0
26864,Male,43,1,28,0,1-2 Year,Yes,38864,13,64,1
34943,Male,47,1,28,0,> 2 Years,Yes,32459,163,229,0
60593,Female,25,1,15,1,< 1 Year,No,36833,152,254,0
54214,Male,54,1,28,0,1-2 Year,Yes,44483,26,13,0
